Serial,State,Population,StateCodes,Region
UT5,Andaman and Nicobar Islands,"4,17,036",AN,South
10,Andhra Pradesh,"5,39,03,393",AP,South
26,Arunachal Pradesh,"15,70,458",AR,North East
15,Assam,"3,56,07,039",AS,North East
2,Bihar,"12,47,99,926",BR,East
UT3,Chandigarh,"11,58,473",CH,North
17,Chhattisgarh,"2,94,36,231",CT,North
UT4,Dadra and Nagar Haveli and Daman and Diu,"6,15,724",DN,West
NCT,Delhi,"1,87,10,922",DL,North
25,Goa,"15,86,250",GA,West
9,Gujarat,"6,38,72,399",GJ,North
18,Haryana,"2,82,04,692",HR,North
20,Himachal Pradesh,"74,51,955",HP,North
UT1,Jammu & Kashmir,"1,36,06,320",JK,North
13,Jharkhand,"3,85,93,948",JH,East
8,Karnataka,"6,75,62,686",KA,South
14,Kerala,"3,56,99,443",KL,North
UT6,Ladakh,"2,89,023",LA,North
UT7,Lakshadweep,"73,183",LD,South
5,Madhya Pradesh,"8,53,58,965",MP,North
3,Maharashtra,"12,31,44,223",MH,West
23,Manipur,"30,91,545",MN,North East
22,Meghalaya,"33,66,710",ML,North East
27,Mizoram,"12,39,244",MZ,North East
24,Nagaland,"22,49,695",NL,North East
11,Odisha,"4,63,56,334",OR,East
UT2,Puducherry,"14,13,542",PY,South
16,Punjab,"3,01,41,373",PB,North
6,Rajasthan,"8,10,32,689",RJ,West
28,Sikkim,"6,90,251",SK,North East
7,Tamil Nadu,"7,78,41,267",TN,South
12,Telangana,"3,93,62,732",TG,South
21,Tripura,"41,69,794",TR,North East
1,Uttar Pradesh,"23,78,82,725",UP,North
19,Uttarakhand,"1,12,50,858",UT,North
4,West Bengal,"9,96,09,303",WB,East
